State,Program_Category,Num_Programs
AK,Library_Programs,12803
AL,Library_Programs,42145
AR,Library_Programs,34227
AZ,Library_Programs,73875
CA,Library_Programs,342664
CO,Library_Programs,106717
CT,Library_Programs,95517
DC,Library_Programs,14357
DE,Library_Programs,13056
FL,Library_Programs,203578
GA,Library_Programs,67489
HI,Library_Programs,10005
IA,Library_Programs,75050
ID,Library_Programs,30325
IL,Library_Programs,194683
IN,Library_Programs,137956
KS,Library_Programs,58951
KY,Library_Programs,89404
LA,Library_Programs,75024
MA,Library_Programs,128677
MD,Library_Programs,64001
ME,Library_Programs,38412
MI,Library_Programs,125326
MN,Library_Programs,62120
MO,Library_Programs,89474
MS,Library_Programs,25659
MT,Library_Programs,14329
NC,Library_Programs,120019
ND,Library_Programs,7940
NE,Library_Programs,32543
NH,Library_Programs,46351
NJ,Library_Programs,178601
NM,Library_Programs,20050
NV,Library_Programs,25878
NY,Library_Programs,500005
OH,Library_Programs,270480
OK,Library_Programs,39114
OR,Library_Programs,65817
PA,Library_Programs,207872
RI,Library_Programs,25792
SC,Library_Programs,44152
SD,Library_Programs,12474
TN,Library_Programs,48876
TX,Library_Programs,244531
UT,Library_Programs,33019
VA,Library_Programs,96799
VT,Library_Programs,24556
WA,Library_Programs,82882
WI,Library_Programs,92810
WV,Library_Programs,23509
WY,Library_Programs,16278
AK,Childrens_Programs,8802
AL,Childrens_Programs,21685
AR,Childrens_Programs,21081
AZ,Childrens_Programs,37852
CA,Childrens_Programs,206627
CO,Childrens_Programs,67253
CT,Childrens_Programs,54737
DC,Childrens_Programs,8514
DE,Childrens_Programs,5408
FL,Childrens_Programs,96748
GA,Childrens_Programs,40018
HI,Childrens_Programs,6891
IA,Childrens_Programs,50700
ID,Childrens_Programs,21377
IL,Childrens_Programs,119282
IN,Childrens_Programs,81430
KS,Childrens_Programs,35508
KY,Childrens_Programs,58369
LA,Childrens_Programs,41820
MA,Childrens_Programs,74280
MD,Childrens_Programs,42531
ME,Childrens_Programs,21882
MI,Childrens_Programs,69603
MN,Childrens_Programs,37914
MO,Childrens_Programs,46818
MS,Childrens_Programs,14473
MT,Childrens_Programs,9349
NC,Childrens_Programs,81887
ND,Childrens_Programs,5265
NE,Childrens_Programs,20349
NH,Childrens_Programs,26420
NJ,Childrens_Programs,95163
NM,Childrens_Programs,11397
NV,Childrens_Programs,14217
NY,Childrens_Programs,213468
OH,Childrens_Programs,174003
OK,Childrens_Programs,20974
OR,Childrens_Programs,45164
PA,Childrens_Programs,125188
RI,Childrens_Programs,13070
SC,Childrens_Programs,24216
SD,Childrens_Programs,9453
TN,Childrens_Programs,28537
TX,Childrens_Programs,127070
UT,Childrens_Programs,22070
VA,Childrens_Programs,61880
VT,Childrens_Programs,15099
WA,Childrens_Programs,50587
WI,Childrens_Programs,60314
WV,Childrens_Programs,15765
WY,Childrens_Programs,11180
AK,Young_Adult_Programs,1528
AL,Young_Adult_Programs,4844
AR,Young_Adult_Programs,4620
AZ,Young_Adult_Programs,6702
CA,Young_Adult_Programs,33645
CO,Young_Adult_Programs,9064
CT,Young_Adult_Programs,7381
DC,Young_Adult_Programs,1566
DE,Young_Adult_Programs,1197
FL,Young_Adult_Programs,17006
GA,Young_Adult_Programs,6326
HI,Young_Adult_Programs,1926
IA,Young_Adult_Programs,6293
ID,Young_Adult_Programs,2931
IL,Young_Adult_Programs,16791
IN,Young_Adult_Programs,13356
KS,Young_Adult_Programs,5523
KY,Young_Adult_Programs,7055
LA,Young_Adult_Programs,10501
MA,Young_Adult_Programs,10265
MD,Young_Adult_Programs,5190
ME,Young_Adult_Programs,2354
MI,Young_Adult_Programs,11135
MN,Young_Adult_Programs,6263
MO,Young_Adult_Programs,7009
MS,Young_Adult_Programs,1999
MT,Young_Adult_Programs,1197
NC,Young_Adult_Programs,8607
ND,Young_Adult_Programs,1267
NE,Young_Adult_Programs,3018
NH,Young_Adult_Programs,2944
NJ,Young_Adult_Programs,15732
NM,Young_Adult_Programs,2763
NV,Young_Adult_Programs,1172
NY,Young_Adult_Programs,55526
OH,Young_Adult_Programs,26919
OK,Young_Adult_Programs,4134
OR,Young_Adult_Programs,6532
PA,Young_Adult_Programs,19448
RI,Young_Adult_Programs,2359
SC,Young_Adult_Programs,3879
SD,Young_Adult_Programs,1205
TN,Young_Adult_Programs,6168
TX,Young_Adult_Programs,23029
UT,Young_Adult_Programs,2716
VA,Young_Adult_Programs,7362
VT,Young_Adult_Programs,1329
WA,Young_Adult_Programs,13422
WI,Young_Adult_Programs,6919
WV,Young_Adult_Programs,2012
WY,Young_Adult_Programs,2281
