State,Employed
AL,3846845
AK,565212
GA,7792052
HI,1130491
ID,1232564
IL,10201787
IN,5160786
IA,2447401
KS,2247842
KY,3493098
LA,3634163
ME,1098075
AZ,5207123
MD,4737405
MA,5479502
MI,7925988
MN,4281141
MS,2333154
MO,4803676
MT,814661
NE,1454157
NV,2210559
NH,1087512
AR,2328384
NJ,7120154
NM,1633310
NY,15921937
NC,7812594
ND,575611
OH,9229397
OK,3003180
OR,3177669
PA,10384811
PR,2884153
CA,30312429
RI,865174
SC,3816548
SD,657804
TN,5174955
TX,20241168
UT,2096916
VT,519139
VA,6598956
WA,5568640
WV,1512183
CO,4168824
WI,4583931
WY,456640
CT,2906229
DC,546805
DE,744949
FL,16077778
