State,Category,Cost
AK,Print_Collection_Expenditures,2276916
AL,Print_Collection_Expenditures,6505277
AR,Print_Collection_Expenditures,5533401
AZ,Print_Collection_Expenditures,14556902
CA,Print_Collection_Expenditures,68898041
CO,Print_Collection_Expenditures,16445553
CT,Print_Collection_Expenditures,12363802
DC,Print_Collection_Expenditures,2000732
DE,Print_Collection_Expenditures,1797136
FL,Print_Collection_Expenditures,33012867
GA,Print_Collection_Expenditures,10619594
HI,Print_Collection_Expenditures,2118598
IA,Print_Collection_Expenditures,9635941
ID,Print_Collection_Expenditures,4012661
IL,Print_Collection_Expenditures,48067899
IN,Print_Collection_Expenditures,24392433
KS,Print_Collection_Expenditures,8828932
KY,Print_Collection_Expenditures,11155043
LA,Print_Collection_Expenditures,13609036
MA,Print_Collection_Expenditures,22409912
MD,Print_Collection_Expenditures,19429066
ME,Print_Collection_Expenditures,3181751
MI,Print_Collection_Expenditures,24013147
MN,Print_Collection_Expenditures,14499431
MO,Print_Collection_Expenditures,18058010
MS,Print_Collection_Expenditures,3227364
MT,Print_Collection_Expenditures,1833750
NC,Print_Collection_Expenditures,15096236
ND,Print_Collection_Expenditures,1737302
NE,Print_Collection_Expenditures,4943174
NH,Print_Collection_Expenditures,4205907
NJ,Print_Collection_Expenditures,26734242
NM,Print_Collection_Expenditures,4025980
NV,Print_Collection_Expenditures,5423622
NY,Print_Collection_Expenditures,63359838
OH,Print_Collection_Expenditures,45861255
OK,Print_Collection_Expenditures,8689746
OR,Print_Collection_Expenditures,10723781
PA,Print_Collection_Expenditures,22371974
RI,Print_Collection_Expenditures,2418106
SC,Print_Collection_Expenditures,10136582
SD,Print_Collection_Expenditures,1877014
TN,Print_Collection_Expenditures,9714965
TX,Print_Collection_Expenditures,37055437
UT,Print_Collection_Expenditures,9058695
VA,Print_Collection_Expenditures,16485330
VT,Print_Collection_Expenditures,1783312
WA,Print_Collection_Expenditures,26023708
WI,Print_Collection_Expenditures,16302829
WV,Print_Collection_Expenditures,3393581
WY,Print_Collection_Expenditures,1732866
AK,Digital_Collection_Expenditures,488715
AL,Digital_Collection_Expenditures,1413812
AR,Digital_Collection_Expenditures,2023580
AZ,Digital_Collection_Expenditures,6231405
CA,Digital_Collection_Expenditures,24944727
CO,Digital_Collection_Expenditures,9371697
CT,Digital_Collection_Expenditures,3577446
DC,Digital_Collection_Expenditures,1340000
DE,Digital_Collection_Expenditures,158409
FL,Digital_Collection_Expenditures,16421139
GA,Digital_Collection_Expenditures,2887735
HI,Digital_Collection_Expenditures,1167229
IA,Digital_Collection_Expenditures,2493237
ID,Digital_Collection_Expenditures,1155658
IL,Digital_Collection_Expenditures,19273379
IN,Digital_Collection_Expenditures,10325158
KS,Digital_Collection_Expenditures,2947364
KY,Digital_Collection_Expenditures,4405180
LA,Digital_Collection_Expenditures,5284424
MA,Digital_Collection_Expenditures,6232340
MD,Digital_Collection_Expenditures,7406725
ME,Digital_Collection_Expenditures,377267
MI,Digital_Collection_Expenditures,6630975
MN,Digital_Collection_Expenditures,5041239
MO,Digital_Collection_Expenditures,8106515
MS,Digital_Collection_Expenditures,505753
MT,Digital_Collection_Expenditures,458010
NC,Digital_Collection_Expenditures,3781534
ND,Digital_Collection_Expenditures,411533
NE,Digital_Collection_Expenditures,1486558
NH,Digital_Collection_Expenditures,753284
NJ,Digital_Collection_Expenditures,6113387
NM,Digital_Collection_Expenditures,1554520
NV,Digital_Collection_Expenditures,2247627
NY,Digital_Collection_Expenditures,22665285
OH,Digital_Collection_Expenditures,18901253
OK,Digital_Collection_Expenditures,3285626
OR,Digital_Collection_Expenditures,4366675
PA,Digital_Collection_Expenditures,7011479
RI,Digital_Collection_Expenditures,516649
SC,Digital_Collection_Expenditures,2686896
SD,Digital_Collection_Expenditures,889309
TN,Digital_Collection_Expenditures,2820700
TX,Digital_Collection_Expenditures,14140562
UT,Digital_Collection_Expenditures,2759763
VA,Digital_Collection_Expenditures,6014909
VT,Digital_Collection_Expenditures,276956
WA,Digital_Collection_Expenditures,16325944
WI,Digital_Collection_Expenditures,2360016
WV,Digital_Collection_Expenditures,884260
WY,Digital_Collection_Expenditures,278526
AK,Other_Collection_Expenditures,569660
AL,Other_Collection_Expenditures,2701279
AR,Other_Collection_Expenditures,1895616
AZ,Other_Collection_Expenditures,5788517
CA,Other_Collection_Expenditures,18886309
CO,Other_Collection_Expenditures,9594308
CT,Other_Collection_Expenditures,3217904
DC,Other_Collection_Expenditures,495000
DE,Other_Collection_Expenditures,635597
FL,Other_Collection_Expenditures,10771442
GA,Other_Collection_Expenditures,2051663
HI,Other_Collection_Expenditures,76731
IA,Other_Collection_Expenditures,3221261
ID,Other_Collection_Expenditures,672774
IL,Other_Collection_Expenditures,14036924
IN,Other_Collection_Expenditures,8497580
KS,Other_Collection_Expenditures,2623055
KY,Other_Collection_Expenditures,4302424
LA,Other_Collection_Expenditures,5039913
MA,Other_Collection_Expenditures,6745156
MD,Other_Collection_Expenditures,7500928
ME,Other_Collection_Expenditures,670177
MI,Other_Collection_Expenditures,9540514
MN,Other_Collection_Expenditures,4471933
MO,Other_Collection_Expenditures,6513523
MS,Other_Collection_Expenditures,715380
MT,Other_Collection_Expenditures,479054
NC,Other_Collection_Expenditures,2801557
ND,Other_Collection_Expenditures,326663
NE,Other_Collection_Expenditures,1098111
NH,Other_Collection_Expenditures,1059727
NJ,Other_Collection_Expenditures,7917806
NM,Other_Collection_Expenditures,1124687
NV,Other_Collection_Expenditures,2580105
NY,Other_Collection_Expenditures,16065413
OH,Other_Collection_Expenditures,32163245
OK,Other_Collection_Expenditures,3306177
OR,Other_Collection_Expenditures,3963201
PA,Other_Collection_Expenditures,6021933
RI,Other_Collection_Expenditures,702647
SC,Other_Collection_Expenditures,3897250
SD,Other_Collection_Expenditures,477813
TN,Other_Collection_Expenditures,1640328
TX,Other_Collection_Expenditures,10578451
UT,Other_Collection_Expenditures,2672993
VA,Other_Collection_Expenditures,4783855
VT,Other_Collection_Expenditures,372465
WA,Other_Collection_Expenditures,7893787
WI,Other_Collection_Expenditures,5846103
WV,Other_Collection_Expenditures,796767
WY,Other_Collection_Expenditures,686317
AK,Total_Collection_Expenditures,3335291
AL,Total_Collection_Expenditures,10620368
AR,Total_Collection_Expenditures,9452597
AZ,Total_Collection_Expenditures,26576824
CA,Total_Collection_Expenditures,112729077
CO,Total_Collection_Expenditures,35411558
CT,Total_Collection_Expenditures,19159152
DC,Total_Collection_Expenditures,3835732
DE,Total_Collection_Expenditures,2591142
FL,Total_Collection_Expenditures,60205448
GA,Total_Collection_Expenditures,15558992
HI,Total_Collection_Expenditures,3362558
IA,Total_Collection_Expenditures,15350439
ID,Total_Collection_Expenditures,5841093
IL,Total_Collection_Expenditures,81378202
IN,Total_Collection_Expenditures,43215171
KS,Total_Collection_Expenditures,14399351
KY,Total_Collection_Expenditures,19862647
LA,Total_Collection_Expenditures,23933373
MA,Total_Collection_Expenditures,35387408
MD,Total_Collection_Expenditures,34336719
ME,Total_Collection_Expenditures,4229195
MI,Total_Collection_Expenditures,40184636
MN,Total_Collection_Expenditures,24012603
MO,Total_Collection_Expenditures,32678048
MS,Total_Collection_Expenditures,4448497
MT,Total_Collection_Expenditures,2770814
NC,Total_Collection_Expenditures,21679327
ND,Total_Collection_Expenditures,2475498
NE,Total_Collection_Expenditures,7527843
NH,Total_Collection_Expenditures,6018918
NJ,Total_Collection_Expenditures,40765435
NM,Total_Collection_Expenditures,6705187
NV,Total_Collection_Expenditures,10251354
NY,Total_Collection_Expenditures,102090536
OH,Total_Collection_Expenditures,96925753
OK,Total_Collection_Expenditures,15281549
OR,Total_Collection_Expenditures,19053657
PA,Total_Collection_Expenditures,35405386
RI,Total_Collection_Expenditures,3637402
SC,Total_Collection_Expenditures,16720728
SD,Total_Collection_Expenditures,3244136
TN,Total_Collection_Expenditures,14175993
TX,Total_Collection_Expenditures,61774450
UT,Total_Collection_Expenditures,14491451
VA,Total_Collection_Expenditures,27284094
VT,Total_Collection_Expenditures,2432733
WA,Total_Collection_Expenditures,50243439
WI,Total_Collection_Expenditures,24508948
WV,Total_Collection_Expenditures,5074608
WY,Total_Collection_Expenditures,2697709
